date,currency,cot_index,cot_index_4w_change,net_pct_change_1w,momentum_acceleration,oi_delta_direction,oi_net_confluence,flip_flag,extreme_flag,usd_index_cot,rank_in_8,spread_vs_usd,weeks_since_flip,lev_funds_net_index,asset_mgr_net_direction,dealer_net_contrarian,lev_vs_assetmgr_divergence,rate_diff_vs_usd,rate_diff_trend_3m,rate_hike_expectation,cpi_diff_vs_usd,cpi_trend,pmi_composite_diff,yield_10y_diff,vix_regime,gold_cot_index,oil_cot_direction,month,quarter,label
2006-02-17,AUD,50.0,0.0,-61.25787979404264,-20.465810115008903,-1,4,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.12,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-17,CAD,50.0,0.0,-9.769205039580777,-26.18352101683577,-1,4,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.7400000000000002,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-17,CHF,50.0,0.0,-112.3076923076923,-5.616065350578625,1,3,0,0,50.0,1.0,0.0,1.0,50.0,0,50.0,0.0,-3.4932395,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BEAR
2006-02-17,EUR,50.0,0.0,-36.95755338781967,54.88004218296862,1,3,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.0675,0,0.0,0.0,2,1,BEAR
2006-02-17,GBP,50.0,0.0,-75.25245342056607,11.164841416583702,1,3,0,0,50.0,1.0,0.0,2.0,50.0,0,50.0,0.0,0.09199000000000002,0.0,-1,0.0,0,0.0,-0.38569999999999993,0,0.0,0.0,2,1,NEUTRAL
2006-02-17,JPY,50.0,0.0,2.289385415372602,28.20380854348945,-1,2,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.390000000000001,0.0,-1,0.0,0,0.0,-2.942,0,0.0,0.0,2,1,BULL
2006-02-17,NZD,50.0,0.0,-2.194586686174104,-10.168251645940014,-1,4,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,3.04,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BEAR
2006-02-24,AUD,50.0,0.0,-50.304310023599555,107.81269407527014,1,3,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.12,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-24,CAD,50.0,0.0,-13.016508501383948,-2.189600632661131,-1,4,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.7400000000000002,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-24,CHF,50.0,0.0,-18.555213543670643,34.34333718096704,1,3,0,0,50.0,1.0,0.0,2.0,50.0,0,50.0,0.0,-3.4932395,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-24,EUR,50.0,0.0,-15.64904650384744,42.97423887587822,1,3,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.1075,0,0.0,0.0,2,1,NEUTRAL
2006-02-24,GBP,50.0,0.0,19.327219607206622,62.26667748742087,-1,2,0,0,50.0,1.0,0.0,3.0,50.0,0,50.0,0.0,0.09199000000000002,0.0,-1,0.0,0,0.0,-0.42569999999999997,0,0.0,0.0,2,1,BULL
2006-02-24,JPY,50.0,0.0,-29.29146157618468,-31.63448789436402,1,3,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.390000000000001,0.0,-1,0.0,0,0.0,-2.982,0,0.0,0.0,2,1,NEUTRAL
2006-02-24,NZD,50.0,0.0,-9.673398155073547,-7.429568686113189,1,3,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,3.04,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-03-03,AUD,50.0,0.0,-65.63359160209947,35.59110222444389,-1,4,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.0200000000000005,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
