date,currency,noncomm_long,noncomm_short,open_interest,net,lev_funds_long,lev_funds_short,lev_funds_net,asset_mgr_long,asset_mgr_short,asset_mgr_net,dealer_long,dealer_short,dealer_net
2014-05-13,EUR,84383,86558,268142,-2175,0,0,0,0,0,0,60718,25592,35126
2014-05-13,GBP,71168,39413,230333,31755,0,0,0,0,0,0,12986,119711,-106725
2014-05-13,JPY,17471,82178,164707,-64707,0,0,0,0,0,0,90982,15570,75412
2014-05-13,NZD,23806,4466,30932,19340,0,0,0,0,0,0,1552,22236,-20684
2014-05-13,USD,34719,35054,50532,-335,0,0,0,0,0,0,10389,6506,3883
2014-05-20,AUD,50130,30668,107613,19462,0,0,0,0,0,0,19700,47849,-28149
2014-05-20,CAD,26500,53034,121268,-26534,0,0,0,0,0,0,25401,21276,4125
2014-05-20,CHF,17387,12368,48803,5019,0,0,0,0,0,0,14344,8475,5869
2014-05-20,EUR,75013,84233,268199,-9220,0,0,0,0,0,0,73464,23477,49987
2014-05-20,GBP,80009,46919,237637,33090,0,0,0,0,0,0,13946,115263,-101317
2014-05-20,JPY,18681,72468,164819,-53787,0,0,0,0,0,0,81118,28266,52852
2014-05-20,NZD,22486,4892,30556,17594,0,0,0,0,0,0,2337,21911,-19574
2014-05-20,USD,32292,32609,47494,-317,0,0,0,0,0,0,10133,6812,3321
2014-05-27,AUD,52071,36223,109139,15848,0,0,0,0,0,0,21141,44350,-23209
2014-05-27,CAD,32581,54391,129989,-21810,0,0,0,0,0,0,25172,28125,-2953
2014-05-27,CHF,11559,15431,48284,-3872,0,0,0,0,0,0,19998,8387,11611
2014-05-27,EUR,70753,87386,274051,-16633,0,0,0,0,0,0,88065,22532,65533
2014-05-27,GBP,78438,43134,238440,35304,0,0,0,0,0,0,13614,120731,-107117
2014-05-27,JPY,16999,76035,162820,-59036,0,0,0,0,0,0,83254,22942,60312
2014-05-27,NZD,22034,4090,30649,17944,0,0,0,0,0,0,2425,22419,-19994
2014-05-27,USD,33442,34126,49243,-684,0,0,0,0,0,0,10213,7136,3077
2014-06-03,AUD,56811,35284,110911,21527,0,0,0,0,0,0,20448,48746,-28298
2014-06-03,CAD,32519,55250,130275,-22731,0,0,0,0,0,0,25426,27730,-2304
2014-06-03,CHF,11907,13919,48936,-2012,0,0,0,0,0,0,22555,9359,13196
2014-06-03,EUR,57109,90134,280747,-33025,0,0,0,0,0,0,106584,21193,85391
2014-06-03,GBP,79476,44502,239604,34974,0,0,0,0,0,0,15509,116341,-100832
2014-06-03,JPY,12578,86796,171804,-74218,0,0,0,0,0,0,94759,14965,79794
2014-06-03,NZD,22400,4869,30066,17531,0,0,0,0,0,0,1535,20571,-19036
2014-06-03,USD,37663,37369,54011,294,0,0,0,0,0,0,10203,7413,2790
2014-06-10,AUD,62141,33894,128984,28247,0,0,0,0,0,0,20845,59610,-38765
2014-06-10,CAD,30303,54411,125832,-24108,0,0,0,0,0,0,22614,22471,143
